conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
HPERIOD_UID:1,PREHISTORIC,,HISTORICAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
HPERIOD_UID:2,EARLY PREHISTORIC,,HPERIOD_UID:1,Index,EH
HPERIOD_UID:3,PALAEOLITHIC,,HPERIOD_UID:2,Index,EH
HPERIOD_UID:4,LOWER PALAEOLITHIC,,HPERIOD_UID:3,Index,EH
HPERIOD_UID:5,MIDDLE PALAEOLITHIC,,HPERIOD_UID:3,Index,EH
HPERIOD_UID:6,UPPER PALAEOLITHIC,,HPERIOD_UID:3,Index,EH
HPERIOD_UID:7,MESOLITHIC,,HPERIOD_UID:2,Index,EH
HPERIOD_UID:8,EARLY MESOLITHIC,,HPERIOD_UID:7,Index,EH
HPERIOD_UID:9,LATE MESOLITHIC,,HPERIOD_UID:7,Index,EH
HPERIOD_UID:10,LATER PREHISTORIC,,HPERIOD_UID:1,Index,EH
HPERIOD_UID:11,NEOLITHIC,,HPERIOD_UID:10,Index,EH
HPERIOD_UID:12,EARLY NEOLITHIC,,HPERIOD_UID:11,Index,EH
HPERIOD_UID:13,MIDDLE NEOLITHIC,,HPERIOD_UID:11,Index,EH
HPERIOD_UID:14,LATE NEOLITHIC,,HPERIOD_UID:11,Index,EH
HPERIOD_UID:15,BRONZE AGE,,HPERIOD_UID:10,Index,EH
HPERIOD_UID:16,EARLY BRONZE AGE,,HPERIOD_UID:15,Index,EH
HPERIOD_UID:17,MIDDLE BRONZE AGE,,HPERIOD_UID:15,Index,EH
HPERIOD_UID:18,LATE BRONZE AGE,,HPERIOD_UID:15,Index,EH
HPERIOD_UID:19,IRON AGE,,HPERIOD_UID:10,Index,EH
HPERIOD_UID:20,EARLY IRON AGE,,HPERIOD_UID:19,Index,EH
HPERIOD_UID:21,MIDDLE IRON AGE,,HPERIOD_UID:19,Index,EH
HPERIOD_UID:22,LATE IRON AGE,,HPERIOD_UID:19,Index,EH
HPERIOD_UID:23,PREHISTORIC OR ROMAN,,HISTORICAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
HPERIOD_UID:24,ROMAN,,HISTORICAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
HPERIOD_UID:25,EARLY MEDIEVAL,,HISTORICAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
HPERIOD_UID:26,MEDIEVAL,,HISTORICAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
HPERIOD_UID:27,15TH CENTURY,,HISTORICAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
HPERIOD_UID:28,16TH CENTURY,,HISTORICAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
HPERIOD_UID:29,17TH CENTURY,,HISTORICAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
HPERIOD_UID:30,18TH CENTURY,,HISTORICAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
HPERIOD_UID:31,19TH CENTURY,,HISTORICAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
HPERIOD_UID:32,20TH CENTURY,,HISTORICAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
HPERIOD_UID:33,21ST CENTURY,,HISTORICAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
HPERIOD_UID:34,UNCERTAIN,,HISTORICAL_PERIOD_AUTHORITY_DOCUMENT.csv,Index,EH
